Street,Zip,"",Lo,High,School,Odd/Even
Cooper Street,08611,"","","",Dunn Middle,""
Cornwall Avenue,08618,"","","",Jefferson Elementary,""
Cornwall Avenue,08618,"","","",Kilmer Middle School,""
Cortland Street,08638,"","","",Wilson Elementary,""
Cortland Street,08638,"","","",Rivera Middle,""
Cottage Place,08618,"","","",Jefferson Elementary,""
Cottage Place,08618,"","","",Kilmer Middle School,""
Cove Street,08611,"","","",Washington Elementary,""
Cove Street,08611,"","","",Dunn Middle,""
Creekview Drive,08609,"","","",Grant Elementary,""
Creekview Drive,08609,"","","",Rivera Middle,""
Cross Street,08638,"","","",Grant Elementary,""
Cross Street,08638,"","","",Rivera Middle,""
Culbertson Avenue,08609,"","","",Robbins Elementary,""
Culbertson Avenue,08609,"","","",Hg-Wms. Middle,""
Cumberland Avenue,08618,"","","",Gregory Elementary,""
Cumberland Avenue,08618,"","","",Kilmer Middle School,""
Cummings Avenue,08611,"",1,299,Washington Elementary,""
Cummings Avenue,08611,"",300,End,Franklin Elementary,""
Cummings Avenue,08611,"","","",Dunn Middle,""
Cummings Place,08611,"","","",Washington Elementary,""
Cummings Place,08611,"","","",Dunn Middle,""
Cuyler Avenue,08609,"",1,150,Hill Elementary,""
Cuyler Avenue,08629,"",151,End,Robeson Elementary,""
Cuyler Avenue,08609,"","","",Hg-Wms. Middle,""
Dale Street,08618,"","","",Rivera Middle,""
Davis Avenue,08629,"","","",Washington Elementary,""
Davis Avenue,08629,"","","",Dunn Middle,""
Daymond Street,08611,"","","",Parker Elementary,""
Daymond Street,08611,"","","",Dunn Middle,""
Dayton Street,08610,"","","",Franklin Elementary,""
Dayton Street,08610,"","","",Dunn Middle,""
Dean Avenue North,08618,"","","",Jefferson Elementary,""
Dean Avenue North,08618,"","","",Kilmer Middle School,""
Dean Avenue South,08618,"","","",Jefferson Elementary,""
Dean Avenue South,08618,"","","",Kilmer Middle School,""
DeKlyn Avenue,08611,"",413,421,Columbus Elem (Harrison),""
DeKlyn Avenue,08610,"",503,End,Franklin Elementary,""
DeKlyn Avenue,08610,"","","",Dunn Middle,""
Delawareview Avenue,08618,"","","",Gregory Elementary,""
Delawareview Avenue,08618,"","","",Kilmer Middle School,""
Dexter Street,08638,"","","",King Elementary,""
Dexter Street,08638,"","","",Rivera Middle,""
Dickinson Street,08638,"","","",Wilson Elementary,""
Dickinson Street,08638,"","","",Rivera Middle,""
Ditmar Alley,08611,"","","",Robbins Elementary,Currently no homes
Ditmar Alley,08611,"","","",Dunn Middle,Currently no homes
Division Street,08611,"",100,699,Washington Elementary,""
Division Street,08611,"",1,99,Robbins Elementary,""
Division Street,08611,"",700,End,Columbus Elem (Harrison),""
Division Street,08611,"",1,99,Hg-Wms. Middle,""
Division Street,08611,"",100,End,Dunn Middle,""
