school,road,from,to,oddeven
SL,TARTAN CT,,,
SL,TOMPKINS PLACE,,,
SL,TRUMBULL AVE,,,
UN,2ND AVENUE,,,
UN,ABBY DRIVE,,,
UN,ABELIA COURT,,,
UN,ADAMS LANE,,,
UN,ADELE COURT,,,
UN,ALBEMARLE ROAD,,,
UN,ALBURTUS COURT,,,
UN,ALCAZAR AVENUE,,,
UN,ALEXANDRIA COURT,,,
UN,ALLEGHENY AVENUE,,,
UN,ALLEN LANE,,,
UN,ALLWOOD DRIVE,,,
UN,ALTAMAWR AVENUE,,,
UN,ALYCE COURT,,,
UN,AMERICAN EAGLE COURT,,,
UN,ANDERSON LANE,,,
UN,ANDREW DRIVE,,,
UN,ANTHONY LANE,,,
UN,ARCADIA AVENUE,,,
UN,ARDISIA COURT,,,
UN,ARDMORE AVENUE,,,
UN,ARTHUR PLACE,,,
UN,ASHLEIGH DRIVE,,,
UN,ASHWOOD COURT,,,
UN,ASSESSMENT ROAD,,,
UN,AVALON WAY,,,
UN,AZALEA COURT,,,
UN,BAKER STREET,,,
UN,BAKERS BASIN ROAD,,,
UN,BAKUN WAY,,,
UN,BALSAM COURT,,,
UN,BALSAM DRIVE,,,
UN,BANNISTER DRIVE,,,
UN,BARBERRY COURT,,,
UN,BARCLAY COURT,,,
UN,BARNETT ROAD,,,
UN,BASIN ROAD,,,
UN,BAYBERRY ROAD,,,
UN,BEARFORT WAY,,,
UN,BELLEVIEW TERRACE,,,
UN,BENEDEK ROAD,,,
UN,BENNINGTON DRIVE,,,
UN,BERGEN STREET,,,
UN,BERWYN PLACE,,,
UN,BETTS AVENUE,,,
UN,BIRCHWOOD KNOLL ROAD,,,
UN,BLACK ROAD,,,
UN,BLACKWELL ROAD,,,
UN,BONNIE COURT,,,
UN,BRAMBLE COURT,,,
UN,BRANCHWOOD COURT,,,
UN,BRANDON ROAD,,,
UN,BREARLEY AVENUE,,,
UN,BRECKENRIDGE PLACE,,,
UN,BRENTWOOD LANE,,,
UN,BRIDLE PATH,,,
UN,BRITTON COURT,,,
UN,BROMLEY COURT,,,
UN,BROOKDALE DRIVE,,,
UN,BRUNSWICK AVENUE,,,
UN,BRUNSWICK CIRCLE,,,
UN,BRUNSWICK PIKE,,,
UN,BUCKINGHAM DRIVE,,,
UN,BUNKER HILL AVENUE,,,
UN,BUNKER HILL ROAD,,,
UN,BURNING TREE LANE,,,
UN,CAMBRIDGE AVENUE,,,
UN,CAMELIA COURT,,,
UN,CANAL VIEW DRIVE,,,
UN,CANOE LANE,,,
UN,CARLA WAY,,,
UN,CARNATION PLACE,,,
UN,CARNEGIE ROAD,,,
UN,CARR AVENUE,,,
UN,CARSON ROAD,,,
UN,CARTER ROAD,,,
UN,CARTER STREET,,,
UN,CARVER PLACE,,,
UN,CATBIRD COURT,,,
UN,CEDAR DRIVE,,,
UN,CHAMBERLIN COURT,,,
UN,CHARLES WAY,,,
UN,CHATSWORTH COURT,,,
UN,CHAUNCY ROAD,,,
UN,CHELSEA COURT,,,
UN,CHERRY BLOSSOM COURT,,,
UN,CHERRY TREE LANE,,,
UN,CHOPIN LANE,,,
UN,CLARKSVILLE ROAD,,,
UN,CLEMENTON WAY,,,
UN,CLIVDEN COURT,,,
UN,CLIVEDEN COURT,,,
UN,COACH DRIVE,,,
UN,COBBLESTONE WAY,,,
UN,COLBY COURT,,,
